Lambda,Intensity
504.1799,0.0
504.552804636568,0.0
504.925663386272,0.0
505.29847624911196,0.0
505.67124322508795,0.0
506.04396431419997,0.0
506.41663951644796,0.0
506.789268831832,0.0
507.161852260352,0.0
507.5343898020079,0.0
507.90688145679997,0.0
508.279327224728,0.0
508.65172710579196,0.0
509.024081099992,0.0
509.396389207328,0.0
509.76865142779997,0.0
510.14086776140795,655.8019655172413
510.51303820815195,644.7288103448276
510.885162768032,672.9766551724138
511.257241441048,696.2528793103448
511.62927422719997,659.6436724137932
512.001261126488,670.4908448275862
512.373202138912,690.1513448275862
512.745097264472,700.546551724138
513.1169465031679,685.1797241379311
513.488749855,717.7212413793104
513.860507319968,737.1557586206897
514.232218898072,739.8675517241379
514.603884589312,731.054224137931
514.975504393688,738.963620689655
515.3470783111999,747.3249827586208
515.7186063418479,747.3249827586208
516.0900884856319,738.0596896551724
516.461524742552,738.0596896551724
516.8329151126079,742.3533620689656
517.2042595958,748.6808793103448
517.575558192128,758.1721551724138
517.946810901592,731.5061896551723
518.318017724192,768.1153965517242
518.689178659928,768.3413793103448
519.0602937088,765.1776206896552
519.431362870808,772.1830862068966
519.8023861459519,763.5957413793103
520.173363534232,759.9800172413794
520.5442950356479,764.4996724137931
520.9151806502,795.4593103448276
521.286020377888,774.4429137931036
521.6568142187119,777.3806896551725
522.027562172672,795.2333275862069
522.398264239768,774.4429137931035
522.76892042,780.7704310344828
523.139530713368,763.5957413793104
523.5100951198721,762.9177931034483
523.880613639512,752.2966034482758
524.2510862722879,752.9745517241379
524.6215130182,767.2114655172412
524.9918938772479,761.7878793103448
525.362228849432,751.3926724137931
525.732517934752,757.9461724137931
526.102761133208,759.0760862068965
526.4729584447999,758.8501034482758
526.843109869528,756.3642931034482
527.213215407392,754.5564310344828
527.583275058392,753.2005344827587
527.9532888225281,778.9625689655172
528.3232566997999,743.483275862069
528.6931786902079,762.9177931034482
529.0630547937519,763.5957413793103
529.432885010432,763.1437758620689
529.8026693402479,766.7595000000001
530.1724077832,766.7595
530.542100339288,756.590275862069
530.911747008512,755.2343793103448
531.281347790872,755.9123275862069
531.650902686368,771.2791551724139
532.020411695,744.6131896551724
532.389874816768,750.2627586206896
532.759292051672,773.313
533.128663399712,762.6918103448277
533.497988860888,758.6241206896552
533.8672684351999,776.4767586206897
534.236502122648,747.5509655172415
534.6056899232319,756.3642931034484
534.9748318369519,773.0870172413794
535.343927863808,769.4712931034481
535.7129780038,745.0651551724138
536.081982256928,757.7201896551725
536.450940623192,756.1383103448276
536.819853102592,755.9123275862069
537.1887196951279,773.7649655172413
537.5575404007999,773.5389827586207
537.9263152196079,752.0706206896552
538.2950441515519,750.4887413793103
538.663727196632,748.9068620689657
539.0323643548479,746.1950689655171
539.4009556262,765.4036034482759
539.769501010688,767.437448275862
540.138000508312,771.0531724137933
540.506454119072,755.9123275862069
540.874861842968,771.0531724137929
541.24322368,773.7649655172412
541.611539630168,766.9854827586207
541.9798096934719,769.9232586206897
542.3480338699119,764.2736896551725
542.7162121594879,780.7704310344827
543.0843445621999,781.4483793103449
543.452431078048,762.2398448275862
543.820471707032,767.2114655172413
544.188466449152,772.4090689655172
544.556415304408,768.5673620689655
544.9243182728,765.1776206896551
545.292175354328,781.6743620689655
545.659986548992,774.4429137931036
546.027751856792,766.7595
546.3954712777279,758.8501034482758
546.7631448118,760.6579655172415
547.130772459008,760.6579655172415
547.498354219352,757.0422413793103
547.8658900928319,753.2005344827587
548.233380079448,756.1383103448276
548.6008241792,779.4145344827587
548.968222392088,756.3642931034483
549.335574718112,783.0302586206897
549.702881157272,771.2791551724138
550.0701417095679,787.5499137931035
550.4373563749999,755.2343793103448
550.804525153568,787.097948275862
551.1716480452719,761.3359137931034
551.5387250501119,773.9909482758621
551.9057561680879,764.9516379310345
552.2727413992,773.0870172413794
552.639680743448,769.4712931034483
553.006574200832,780.7704310344827
553.373421771352,751.8446379310344
553.740223455008,783.9341896551723
554.1069792518,762.0138620689655
554.473689161728,776.4767586206897
554.840353184792,755.0083965517242
555.2069713209919,760.8839482758619
555.573543570328,771.2791551724138
555.9400699327999,768.1153965517241
556.3065504084079,775.3468448275861
556.672984997152,796.1372586206896
557.039373699032,763.821724137931
557.405716514048,751.6186551724138
557.7720134422,768.7933448275862
558.138264483488,769.697275862069
558.504469637912,766.9854827586207
558.8706289054719,772.6350517241378
559.2367422861679,772.635051724138
559.6028097799999,775.3468448275862
559.968831386968,764.2736896551725
560.3348071070719,767.2114655172414
560.7007369403119,773.313
561.0666208866879,771.7311206896552
561.4324589462,760.206
561.798251118848,771.0531724137932
562.163997404632,766.5335172413794
562.529697803552,766.7595000000001
562.895352315608,762.2398448275864
563.2609609408,780.0924827586207
563.6265236791279,756.590275862069
563.9920405305919,763.1437758620689
564.3575114951919,773.7649655172414
564.722936572928,772.8610344827587
565.0883157638,785.9680344827586
565.453649067808,768.7933448275862
565.818936484952,749.8107931034482
566.184178015232,769.6972758620691
566.549373658648,766.9854827586207
566.9145234152,776.4767586206897
567.2796272848881,769.2453103448277
567.6446852677119,767.6634310344828
568.0096973636719,766.5335172413794
568.374663572768,770.1492413793103
568.7395838949999,769.2453103448275
569.104458330368,757.0422413793104
569.4692868788719,765.1776206896552
569.834069540512,776.2507758620691
570.198806315288,758.1721551724138
570.5634972032,762.4658275862068
570.928142204248,787.0979482758621
571.292741318432,762.6918103448276
571.6572945457519,755.4603620689655
572.021801886208,752.7485689655173
572.3862633397999,775.3468448275862
572.7506789065279,776.7027413793104
573.1150485863919,776.250775862069
573.479372379392,762.9177931034483
573.8436502855279,766.3075344827587
574.2078823048,775.1208620689655
574.572068437208,761.1099310344828
574.936208682752,779.6405172413794
575.300303041432,761.3359137931035
575.664351513248,739.8675517241379
576.0283540982,763.3697586206896
576.3923107962879,765.1776206896551
576.756221607512,777.1547068965516
577.120086531872,760.6579655172413
577.483905569368,764.0477068965517
577.84767872,778.7365862068966
578.2114059837679,769.697275862069
578.575087360672,770.1492413793102
578.938722850712,744.161224137931
579.302312453888,785.7420517241379
579.6658561702,771.053172413793
580.029353999648,778.2846206896553
580.3928059422319,773.9909482758621
580.7562119979519,785.0641034482758
581.119572166808,768.7933448275862
581.4828864488,772.4090689655173
581.8461548439279,774.4429137931035
582.209377352192,768.7933448275862
582.572553973592,739.4155862068965
582.935684708128,778.9625689655172
583.2987695557999,775.7988103448276
583.661808516608,749.1328448275863
584.024801590552,762.2398448275862
584.387748777632,766.3075344827587
584.750650077848,766.9854827586206
585.1135054911999,764.4996724137931
585.476315017688,779.1885517241379
585.8390786573119,781.6743620689656
586.201796410072,773.5389827586207
586.564468275968,767.437448275862
586.9270942549999,763.5957413793104
587.289674347168,770.375224137931
587.652208552472,785.0641034482759
588.014696870912,762.2398448275862
588.377139302488,774.2169310344827
588.7395358472,778.9625689655172
589.1018865050479,764.7256551724138
589.4641912760319,771.2791551724138
589.8264501601519,772.1830862068964
590.188663157408,788.0018793103449
590.5508302677999,773.313
590.9129514913279,759.0760862068965
591.275026827992,771.9571034482759
591.637056277792,775.3468448275863
591.999039840728,765.8555689655173
592.3609775168,756.3642931034483
592.722869306008,769.9232586206897
593.0847152083519,780.9964137931034
593.4465152238321,778.7365862068966
593.808269352448,775.7988103448275
594.1699775942,761.3359137931035
594.5316399490879,776.7027413793104
594.893256417112,781.2223965517239
595.2548269982719,767.4374482758622
595.616351692568,774.6688965517241
595.9778305,787.5499137931035
596.339263420568,775.1208620689656
596.700650454272,771.2791551724138
597.061991601112,792.0695689655172
597.4232868610881,760.8839482758619
597.7845362341999,770.8271896551724
598.145739720448,770.375224137931
598.506897319832,768.7933448275862
598.8680090323519,773.3129999999999
599.229074858008,775.3468448275862
599.5900947967999,756.1383103448277
599.951068848728,766.5335172413794
600.3119970137919,771.5051379310345
600.672879291992,753.8784827586207
601.033715683328,765.1776206896552
601.3945061878001,763.821724137931
601.7552508054079,768.5673620689655
602.115949536152,752.2966034482758
602.476602380032,769.6972758620691
602.837209337048,777.1547068965517
603.1977704072,766.081551724138
603.5582855904879,769.4712931034483
603.918754886912,766.0815517241379
604.279178296472,762.465827586207
604.639555819168,765.4036034482758
604.999887455,751.1666896551723
605.360173203968,779.8664999999999
605.7204130660721,774.6688965517242
606.0806070413121,765.8555689655173
606.4407551296879,787.7758965517241
606.8008573312,791.8435862068966
607.1609136458479,775.7988103448275
607.5209240736319,763.3697586206896
607.880888614552,778.5106034482758
608.240807268608,775.5728275862069
608.6006800358,780.0924827586207
608.960506916128,769.697275862069
609.320287909592,771.2791551724138
609.680023016192,771.5051379310346
610.039712235928,761.3359137931035
610.3993555687999,778.2846206896552
610.758953014808,784.838120689655
611.1185045739519,789.1317931034483
611.478010246232,772.1830862068965
611.837470031648,781.2223965517243
612.1968839302,768.5673620689656
612.5562519418879,770.1492413793103
612.915574066712,754.5564310344828
613.274850304672,777.8326551724138
613.634080655768,792.2955517241379
613.99326512,774.2169310344827
614.352403697368,781.2223965517242
614.711496387872,772.6350517241378
615.0705431915119,757.0422413793104
615.4295441082879,771.7311206896551
615.7884991382,780.7704310344827
616.147408281248,775.7988103448276
616.506271537432,772.6350517241378
616.865088906752,765.8555689655173
617.223860389208,770.6012068965517
617.5825859848,775.3468448275862
617.941265693528,753.2005344827587
618.299899515392,753.8784827586207
618.658487450392,776.0247931034484
619.0170294985279,769.4712931034483
619.3755256597999,766.3075344827587
619.7339759342079,764.4996724137933
620.092380321752,778.7365862068966
620.450738822432,759.5280517241379
620.809051436248,771.5051379310345
621.1673181632,776.7027413793104
621.525539003288,783.2562413793103
621.883713956512,778.9625689655172
622.241843022872,778.2846206896552
622.599926202368,777.8326551724138
622.957963495,769.0193275862068
623.315954900768,766.5335172413793
623.6739004196719,753.6524999999999
624.0318000517119,772.1830862068965
624.389653796888,762.2398448275862
624.7474616551999,788.0018793103447
625.105223626648,764.7256551724138
625.462939711232,759.7540344827587
625.820609908952,760.6579655172412
626.178234219808,799.3010172413793
626.5358126438,757.7201896551725
626.893345180928,765.4036034482758
627.250831831192,764.9516379310345
627.6082725945919,769.697275862069
627.965667471128,762.2398448275861
628.3230164608,783.7082068965517
628.6803195636079,740.7714827586208
629.037576779552,760.6579655172413
629.3947881086319,775.7988103448276
629.7519535508479,760.4319827586208
630.1090731062,759.3020689655173
630.466146774688,778.7365862068966
630.823174556312,766.5335172413793
631.180156451072,774.4429137931035
631.5370924589679,768.3413793103448
631.89398258,776.4767586206896
632.2508268141679,767.4374482758622
632.6076251614719,768.1153965517243
632.9643776219119,778.9625689655172
633.321084195488,757.9461724137931
633.6777448821999,760.8839482758619
634.0343596820479,752.5225862068967
634.3909285950319,779.4145344827587
634.747451621152,765.6295862068965
635.103928760408,771.9571034482758
635.4603600127999,765.6295862068965
635.816745378328,777.606672413793
636.1730848569919,775.5728275862069
636.5293784487919,761.1099310344828
636.8856261537279,771.2791551724138
637.2418279717999,772.635051724138
637.597983903008,764.4996724137931
637.954093947352,768.3413793103448
638.310158104832,768.7933448275861
638.666176375448,772.8610344827587
639.0221487592,770.1492413793102
639.378075256088,773.0870172413793
639.7339558661121,766.0815517241379
640.089790589272,775.5728275862068
640.445579425568,769.697275862069
640.8013223749999,768.3413793103448
641.1570194375679,752.9745517241379
641.5126706132719,761.7878793103448
641.8682759021119,747.5509655172415
642.223835304088,745.2911379310345
642.5793488191999,765.4036034482758
642.934816447448,762.465827586207
643.290238188832,772.4090689655172
643.645614043352,765.1776206896551
644.000944011008,763.821724137931
644.3562280918001,752.7485689655173
644.711466285728,767.4374482758622
645.0666585927919,771.053172413793
645.421805012992,785.0641034482759
645.776905546328,772.4090689655171
646.1319601928,769.2453103448277
646.486968952408,767.2114655172414
646.841931825152,760.883948275862
647.1968488110319,774.4429137931033
647.551719910048,769.4712931034483
647.9065451222,757.268224137931
648.261324447488,772.1830862068965
648.6160578859119,767.4374482758622
648.970745437472,769.2453103448275
649.325387102168,772.1830862068965
649.6799828799999,772.8610344827586
650.034532770968,776.7027413793103
650.389036775072,775.1208620689656
650.743494892312,776.0247931034482
651.097907122688,766.3075344827587
651.4522734662,761.1099310344828
651.806593922848,777.3806896551724
652.1608684926321,773.0870172413794
652.5150971755519,781.9003448275862
652.8692799716081,771.5051379310345
653.2234168808,764.9516379310345
653.577507903128,761.7878793103449
653.9315530385919,760.206
654.285552287192,771.9571034482758
654.639505648928,752.5225862068964
654.9934131238,765.4036034482758
655.3472747118079,748.6808793103448
655.701090412952,779.4145344827585
656.054860227232,771.2791551724139
656.4085841546479,765.1776206896552
656.7622621952,778.0586379310346
657.1158943488879,780.544448275862
657.469480615712,769.697275862069
657.823020995672,762.0138620689653
658.1765154887679,773.990948275862
658.529964095,752.2966034482758
658.883366814368,758.8501034482758
659.236723646872,754.1044655172415
659.590034592512,752.5225862068966
659.943299651288,778.0586379310345
660.2965188232,769.4712931034484
660.649692108248,763.8217241379309
661.0028195064319,760.6579655172415
661.355901017752,752.5225862068966
661.708936642208,767.8894137931035
662.0619263798,763.8217241379309
662.414870230528,766.7594999999999
662.7677681943919,755.0083965517242
663.120620271392,764.2736896551723
663.473426461528,764.0477068965517
663.8261867648,763.1437758620689
664.178901181208,779.6405172413794
664.531569710752,752.9745517241379
664.8841923534319,762.6918103448276
665.236769109248,758.6241206896552
665.5892999782,772.4090689655173
665.9417849602879,773.0870172413793
666.2942240555119,764.2736896551725
666.6466172638719,759.9800172413793
666.998964585368,770.8271896551724
667.3512660199999,756.5902758620689
667.703521567768,767.4374482758622
668.055731228672,770.6012068965517
668.407895002712,775.5728275862068
668.760012889888,770.6012068965516
669.1120848902,768.5673620689654
669.4641110036479,770.1492413793103
669.816091230232,773.313
670.168025569952,749.8107931034483
670.5199140228079,776.4767586206897
670.8717565887999,755.6863448275863
671.223553267928,770.8271896551724
671.575304060192,757.0422413793104
671.927008965592,760.206
672.278667984128,763.1437758620689
672.6302811158,762.2398448275862
672.981848360608,775.5728275862069
673.3333697185519,749.1328448275862
673.684845189632,755.9123275862069
674.0362747738479,771.7311206896551
674.3876584712,760.4319827586207
674.738996281688,765.6295862068966
675.0902882053119,761.1099310344828
675.441534242072,752.0706206896551
675.792734391968,743.7092586206898
676.143888655,750.4887413793103
676.4949970311679,749.1328448275862
676.846059520472,766.5335172413794
677.1970761229119,784.838120689655
677.5480468384881,759.3020689655172
677.8989716671999,759.3020689655173
678.2498506090479,746.6470344827587
678.600683664032,768.3413793103449
678.9514708321519,764.7256551724139
679.3022121134079,743.9352413793102
679.6529075077999,757.0422413793104
680.0035570153279,777.8326551724138
680.354160635992,747.3249827586208
680.704718369792,739.8675517241379
681.055230216728,766.5335172413793
681.4056961768,759.9800172413793
681.756116250008,750.4887413793105
682.106490436352,744.3872068965518
682.4568187358319,751.6186551724138
682.8071011484479,763.3697586206897
683.1573376742,765.1776206896552
683.507528313088,737.3817413793104
683.857673065112,750.4887413793103
684.207771930272,764.4996724137931
684.557824908568,758.1721551724138
684.907832,762.6918103448274
685.257793204568,767.8894137931036
685.6077085222719,760.8839482758619
685.957577953112,750.714724137931
686.3074014970879,768.115396551724
686.6571791542,751.3926724137931
687.006910924448,744.6131896551725
687.3565968078319,768.5673620689655
687.706236804352,781.4483793103449
688.055830914008,769.9232586206896
688.4053791368,760.2060000000001
688.754881472728,772.6350517241381
689.104337921792,769.697275862069
689.4537484839921,753.6525
689.8031131593281,753.6525
690.1524319477999,762.6918103448276
690.501704849408,762.9177931034482
690.8509318641519,762.6918103448277
691.2001129920319,751.6186551724138
691.5492482330479,762.2398448275862
691.8983375872,752.2966034482758
692.247381054488,771.053172413793
692.596378634912,777.1547068965517
692.945330328472,772.4090689655172
693.294236135168,752.7485689655174
693.643096055,746.6470344827587
693.9919100879679,755.0083965517242
694.340678234072,736.4778103448276
694.689400493312,748.6808793103448
695.0380768656879,755.0083965517241
695.3867073511999,745.7431034482759
695.7352919498479,760.4319827586207
696.083830661632,777.6066724137931
696.4323234865519,785.5160689655172
696.780770424608,761.7878793103448
697.1291714758,761.3359137931035
697.477526640128,760.206
697.825835917592,774.4429137931032
698.174099308192,782.1263275862069
698.5223168119279,752.9745517241379
698.8704884288001,760.4319827586207
699.2186141588079,758.3981379310345
699.566694001952,766.9854827586207
699.914727958232,748.4548965517241
700.2627160276479,765.4036034482758
700.6106582102,754.7824137931036
700.958554505888,764.9516379310345
701.306404914712,769.0193275862069
701.654209436672,776.2507758620691
702.001968071768,752.9745517241379
702.3496808199999,773.5389827586206
702.697347681368,764.0477068965517
703.0449686558719,760.883948275862
703.392543743512,767.6634310344829
703.7400729442879,765.1776206896552
704.0875562581999,770.6012068965517
704.434993685248,771.0531724137932
704.782385225432,760.4319827586207
705.129730878752,771.7311206896551
705.477030645208,749.3588275862069
705.8242845248,774.6688965517241
706.1714925175279,764.0477068965516
706.518654623392,755.9123275862069
706.865770842392,745.9690862068965
707.212841174528,748.2289137931035
707.5598656197999,761.3359137931034
707.906844178208,764.0477068965517
708.253776849752,771.9571034482758
708.600663634432,767.8894137931035
708.947504532248,767.6634310344828
709.2942995431999,761.7878793103448
709.641048667288,742.5793448275863
709.987751904512,747.099
710.334409254872,768.1153965517242
710.6810207183679,779.8665
711.027586295,776.4767586206897
711.3741059847679,750.7147241379311
711.7205797876719,778.7365862068966
712.067007703712,772.1830862068965
712.4133897328879,764.0477068965517
712.7597258751999,766.9854827586207
713.106016130648,765.4036034482758
713.452260499232,744.161224137931
713.798458980952,776.7027413793103
714.144611575808,775.1208620689655
714.4907182837999,767.6634310344826
714.836779104928,751.8446379310344
715.1827940391919,754.330448275862
715.5287630865919,772.4090689655172
715.8746862471279,759.7540344827587
716.2205635207999,757.268224137931
716.5663949076079,769.0193275862068
716.912180407552,764.4996724137931
717.257920020632,744.839172413793
717.6036137468479,773.7649655172413
717.9492615862,764.4996724137931
718.294863538688,755.008396551724
718.640419604312,762.2398448275862
718.9859297830719,766.7594999999999
719.331394074968,751.8446379310345
719.67681248,769.2453103448275
720.022184998168,746.6470344827585
720.3675116294719,754.7824137931034
720.712792373912,755.912327586207
721.0580272314879,762.9177931034484
721.4032162021999,781.2223965517243
721.748359286048,769.9232586206897
722.093456483032,771.0531724137932
722.438507793152,758.1721551724138
722.7835132164079,756.5902758620689
723.1284727528,762.9177931034483
723.473386402328,744.6131896551725
723.8182541649919,753.8784827586207
724.1630760407919,757.7201896551724
724.5078520297279,746.1950689655172
724.8525821318,761.3359137931035
725.1972663470079,760.4319827586207
725.5419046753519,765.6295862068965
725.886497116832,750.2627586206896
726.231043671448,761.5618965517242
726.5755443392,748.2289137931036
726.919999120088,759.0760862068967
727.264408014112,762.239844827586
727.6087710212719,749.8107931034483
727.953088141568,765.1776206896551
728.2973593749999,756.1383103448275
728.6415847215679,750.714724137931
728.985764181272,760.883948275862
729.3298977541119,739.4155862068966
729.673985440088,766.081551724138
730.0180272392,766.081551724138
730.3620231514479,746.6470344827586
730.705973176832,765.8555689655171
731.0498773153519,762.0138620689655
731.393735567008,764.0477068965517
731.7375479317999,743.7092586206896
732.081314409728,746.4210517241379
732.4250350007919,767.4374482758622
732.7687097049919,768.5673620689656
733.112338522328,750.9407068965518
733.4559214528,772.8610344827587
733.799458496408,768.1153965517241
734.142949653152,773.5389827586207
734.486394923032,764.2736896551723
734.8297943060479,762.2398448275862
735.1731478022,769.4712931034481
735.5164554114879,779.4145344827587
735.8597171339119,748.6808793103448
736.2029329694719,771.5051379310346
736.5461029181679,773.0870172413794
736.88922698,744.6131896551725
737.232305154968,758.8501034482758
737.5753374430719,757.946172413793
737.918323844312,763.5957413793104
738.261264358688,756.590275862069
738.6041589862,766.9854827586207
738.947007726848,766.7594999999999
739.2898105806319,767.2114655172414
739.6325675475521,776.7027413793103
739.975278627608,748.2289137931034
740.3179438207999,772.4090689655172
740.660563127128,756.1383103448277
741.0031365465919,761.1099310344828
741.3456640791919,737.1557586206897
741.688145724928,751.392672413793
742.0305814838,759.528051724138
742.372971355808,767.8894137931036
742.715315340952,781.6743620689656
743.0576134392319,764.4996724137932
743.399865650648,780.3184655172414
743.7420719751999,758.1721551724138
744.0842324128879,746.8730172413792
744.4263469637119,750.4887413793103
744.768415627672,767.437448275862
745.1104384047679,755.0083965517242
745.4524152949999,787.0979482758621
745.7943462983679,776.0247931034482
746.136231414872,772.1830862068966
746.478070644512,773.9909482758621
746.819863987288,763.3697586206897
747.1616114432001,776.0247931034482
747.5033130122479,754.7824137931034
747.844968694432,768.7933448275861
748.1865784897519,750.2627586206897
748.5281423982079,770.1492413793103
748.8696604198,773.5389827586207
749.2111325545279,752.0706206896551
749.552558802392,763.3697586206897
749.893939163392,756.8162586206898
750.2352736375279,779.6405172413795
750.5765622247999,780.7704310344828
750.917804925208,760.6579655172415
751.2590017387519,770.8271896551723
